practice_id,wave,method,contactable,sent,delivery_success,hits
E85099,2,e,1,1,1,0
E85693,2,e,1,1,1,0
E85745,2,e,1,1,1,0
E86005,2,e,1,1,1,0
E86007,2,e,1,1,1,0
E87013,2,e,1,1,1,0
E87045,2,e,1,1,1,0
E87069,2,e,1,1,1,2
E87733,2,e,1,1,1,0
E87741,2,e,1,1,1,0
E87754,2,e,1,1,1,0
F81001,2,e,1,1,1,0
F81017,2,e,1,1,1,0
F81030,2,e,1,0,,0
F81036,2,e,1,1,1,0
F81037,2,e,1,1,1,0
F81040,2,e,1,1,1,0
F81048,2,e,1,1,1,0
F81062,2,e,1,1,1,0
F81070,2,e,1,1,1,0
F81072,2,e,1,1,1,0
F81074,2,e,1,1,1,0
F81104,2,e,1,1,1,0
F81112,2,e,1,1,1,0
F81123,2,e,1,1,1,0
F81127,2,e,1,1,1,0
F81147,2,e,1,1,1,0
F81212,2,e,1,1,1,0
F81221,2,e,1,1,1,0
F81223,2,e,1,1,1,0
F81622,2,e,1,1,1,0
F81740,2,e,1,1,1,0
F82006,2,e,1,1,1,0
F82007,2,e,1,1,1,0
F82008,2,e,1,1,1,0
F82018,2,e,1,1,1,0
F82042,2,e,1,1,1,0
F82619,2,e,1,1,1,0
F82648,2,e,1,1,0,0
F82671,2,e,1,1,1,0
F83008,2,e,1,1,1,0
F83023,2,e,1,1,1,0
F83039,2,e,1,1,1,0
F83045,2,e,1,1,1,0
F83057,2,e,1,1,1,0
F83060,2,e,1,1,1,0
F83682,2,e,1,1,1,0
F84047,2,e,1,1,1,0
F84079,2,e,1,1,1,0
F84111,2,e,1,1,1,0
F84122,2,e,0,1,1,0
F84640,2,e,1,1,1,0
F84657,2,e,1,1,1,0
F84669,2,e,1,1,1,0
F85010,2,e,1,1,1,0
F85016,2,e,1,1,1,0
F85017,2,e,1,1,1,0
F85064,2,e,1,1,1,0
F85072,2,e,1,1,1,0
F85663,2,e,1,1,1,1
F85678,2,e,1,1,1,0
F86005,2,e,1,1,1,0
F86008,2,e,1,1,1,0
F86010,2,e,1,1,1,0
F86020,2,e,1,1,1,0
F86083,2,e,1,1,1,0
F86085,2,e,1,1,1,0
F86616,2,e,1,1,1,0
F86652,2,e,1,1,1,0
F86731,2,e,1,1,1,0
G81035,2,e,1,1,1,0
G81042,2,e,1,1,1,0
G81043,2,e,1,1,1,0
G81054,2,e,1,1,1,0
G81103,2,e,1,1,1,0
G81614,2,e,1,1,1,0
G81646,2,e,1,1,1,0
G82018,2,e,1,1,1,2
G82022,2,e,1,1,1,0
G82025,2,e,1,1,1,0
G82026,2,e,1,1,1,0
G82044,2,e,1,1,1,0
G82055,2,e,1,1,1,0
G82088,2,e,1,1,1,0
G82142,2,e,1,1,1,4
G82161,2,e,1,1,1,0
G82203,2,e,1,1,1,0
G82204,2,e,1,1,1,0
G82232,2,e,1,1,1,0
G82233,2,e,1,1,1,0
G82622,2,e,1,1,1,0
G82653,2,e,1,1,1,0
G82690,2,e,1,1,1,0
G82888,2,e,1,1,1,0
G83022,2,e,1,1,1,0
G83034,2,e,1,1,1,0
G83046,2,e,1,1,1,0
G83064,2,e,1,1,1,0
G84008,2,e,1,1,1,0
G84020,2,e,1,1,1,0
G85053,2,e,1,1,1,0
G85055,2,e,1,1,1,0
G85105,2,e,1,1,1,0
G85674,2,e,1,1,1,0
H81043,2,e,1,1,1,0
H81058,2,e,1,1,1,0
H81065,2,e,1,1,1,0
H81103,2,e,1,1,1,0
H81104,2,e,1,1,1,0
H81133,2,e,1,1,1,0
H82008,2,e,1,1,1,0
H82012,2,e,1,1,1,0
H82013,2,e,1,1,0,0
H82043,2,e,1,1,1,0
H82056,2,e,1,1,1,0
H82059,2,e,1,1,1,0
H82089,2,e,1,1,1,0
H82092,2,e,1,0,,0
H84031,2,e,1,1,1,0
H84608,2,e,1,1,1,0
H85009,2,e,1,1,1,0
H85019,2,e,1,1,1,0
H85020,2,e,1,1,1,1
H85024,2,e,1,1,1,0
H85045,2,e,1,1,1,0
H85637,2,e,1,1,1,0
J81058,2,e,1,1,1,0
J82008,2,e,1,0,,0
J82034,2,e,1,1,1,0
J82049,2,e,1,1,1,1
J82074,2,e,1,1,1,0
J82076,2,e,1,1,1,0
J82112,2,e,1,1,1,3
J82129,2,e,1,1,1,0
J82150,2,e,1,1,1,0
J82169,2,e,1,1,1,0
J82207,2,e,1,1,1,0
J83007,2,e,1,1,1,0
J83018,2,e,1,1,1,0
J83022,2,e,1,1,1,0
J83031,2,e,1,1,1,0
J83049,2,e,1,1,1,0
J83601,2,e,1,1,1,0
J83615,2,e,1,1,1,0
J83618,2,e,1,1,1,0
J83645,2,e,1,1,1,0
J84017,2,e,1,1,1,0
K81039,2,e,1,1,1,0
K82078,2,e,1,1,1,3
K83068,2,e,1,1,1,1
K84001,2,e,1,1,1,0
K84006,2,e,1,1,1,0
K84008,2,e,1,1,1,0
K84017,2,e,1,1,1,0
K84033,2,e,1,1,1,0
K84046,2,e,1,1,1,0
K84080,2,e,1,1,1,0
L81008,2,e,1,1,1,0
L81013,2,e,1,1,1,0
L81020,2,e,1,1,1,0
L81043,2,e,1,1,1,0
L81045,2,e,1,1,1,1
L81046,2,e,1,1,1,0
L81049,2,e,1,1,1,0
L81095,2,e,1,1,1,0
L81127,2,e,1,1,1,0
L82035,2,e,1,1,1,0
L82050,2,e,1,1,1,0
L82052,2,e,1,1,1,0
L82068,2,e,1,1,1,0
L83046,2,e,1,1,1,0
L83094,2,e,1,1,1,0
L83130,2,e,1,1,1,0
L84015,2,e,1,1,1,0
L84025,2,e,1,1,1,0
L84051,2,e,1,1,1,0
L84057,2,e,1,1,0,0
L84063,2,e,1,1,1,0
L84072,2,e,1,1,1,0
M81006,2,e,1,1,0,0
M81034,2,e,1,1,1,0
M81067,2,e,1,1,1,0
M81072,2,e,1,1,1,0
M82041,2,e,1,1,1,0
M83015,2,e,1,1,1,0
M83074,2,e,1,1,1,0
M83619,2,e,1,1,1,0
M84021,2,e,1,1,1,0
M84031,2,e,1,1,1,0
M84043,2,e,1,1,1,0
M84061,2,e,1,1,1,0
M84615,2,e,0,0,,0
M85028,2,e,1,1,1,0
M85047,2,e,0,0,,0
M85124,2,e,1,1,1,0
M86007,2,e,1,1,1,0
N81031,2,e,1,1,1,0
N81082,2,e,1,1,1,0
N81607,2,e,1,1,1,0
N82024,2,e,1,1,1,0
N82107,2,e,0,0,,0
N83009,2,e,1,1,1,0
N84627,2,e,1,1,1,0
N85007,2,e,1,1,1,0
N85012,2,e,1,1,1,0
N85028,2,e,1,1,1,0
N85053,2,e,1,1,1,0
N85057,2,e,1,1,1,0
N85643,2,e,0,1,1,0
P81059,2,e,1,1,1,0
P81177,2,e,1,1,1,0
P81620,2,e,1,1,1,0
P81674,2,e,1,1,1,0
P81689,2,e,1,1,1,0
P82643,2,e,1,1,1,0
P84027,2,e,1,1,1,0
P84052,2,e,1,1,1,0
P84684,2,e,1,1,1,0
P85608,2,e,1,1,1,0
P85612,2,e,1,1,1,0
P85615,2,e,1,1,1,0
P86620,2,e,1,1,0,0
P87026,2,e,1,1,1,0
P87634,2,e,1,1,1,0
P91009,2,e,1,1,1,0
P91011,2,e,1,1,1,0
P91026,2,e,1,1,1,0
P91029,2,e,1,1,1,0
P91623,2,e,1,1,1,0
P92633,2,e,1,1,1,0
Y00316,2,e,1,1,1,0
Y00328,2,e,1,1,1,0
Y00507,2,e,1,1,1,0
Y00969,2,e,1,1,1,0
Y01011,2,e,1,1,1,0
Y01132,2,e,1,1,1,0
Y01206,2,e,1,1,1,0
Y01291,2,e,1,1,1,0
Y02506,2,e,1,1,1,0
Y02589,2,e,1,1,1,0
Y02811,2,e,1,1,1,0
Y03035,2,e,1,1,1,0
Y03664,2,e,1,1,1,0
A81016,3,e,1,1,1,0
A81030,3,e,1,1,1,1
A82074,3,e,1,1,1,0
A82617,3,e,1,1,1,0
A83050,3,e,1,1,1,2
A83060,3,e,1,1,,0
A84007,3,e,1,1,1,0
A86020,3,e,1,1,1,1
A89007,3,e,1,1,1,0
A89013,3,e,0,0,,0
A89026,3,e,1,1,1,0
B81099,3,e,1,1,1,0
B81656,3,e,1,1,1,0
B82022,3,e,1,1,1,0
B82046,3,e,1,1,1,0
B82622,3,e,1,1,1,0
B83056,3,e,1,1,1,0
B86007,3,e,1,1,1,0
B86064,3,e,1,1,1,0
C81021,3,e,1,1,1,0
C81028,3,e,1,1,1,0
C81035,3,e,1,1,1,0
C82029,3,e,1,1,0,0
C82042,3,e,1,1,1,0
C82051,3,e,1,1,1,0
C82077,3,e,1,1,1,0
C82650,3,e,1,1,1,0
C82678,3,e,1,1,1,0
C83010,3,e,1,1,1,0
C83020,3,e,1,1,1,0
C83024,3,e,1,1,1,0
C83036,3,e,1,1,1,0
C83038,3,e,1,1,1,1
C83052,3,e,1,1,1,0
C83055,3,e,1,1,0,0
C83061,3,e,1,1,0,0
C83062,3,e,1,1,1,0
C83074,3,e,1,1,1,0
C87608,3,e,1,1,1,0
C88019,3,e,1,1,1,0
C88022,3,e,0,0,,0
C88051,3,e,1,1,1,0
C88076,3,e,1,1,1,0
D81002,3,e,1,1,1,0
D81004,3,e,1,0,,0
D81008,3,e,1,1,0,0
D81028,3,e,0,0,,0
D81031,3,e,1,1,1,0
D81039,3,e,1,1,1,0
D81040,3,e,1,1,1,0
D81044,3,e,1,1,1,0
D81045,3,e,1,1,1,0
D81046,3,e,1,1,1,0
D81050,3,e,1,1,1,0
D81051,3,e,1,1,1,0
D81066,3,e,1,1,1,0
D81081,3,e,1,1,1,0
D81086,3,e,1,1,1,0
D81612,3,e,1,1,1,0
D81619,3,e,1,1,1,0
D82012,3,e,1,1,1,0
D82020,3,e,1,1,1,0
D82030,3,e,1,1,1,0
D82034,3,e,1,1,1,0
D82038,3,e,1,1,1,0
D82039,3,e,1,1,1,1
D82065,3,e,1,1,0,0
D82070,3,e,1,1,1,0
D82071,3,e,1,1,1,0
D82072,3,e,1,1,1,0
D82076,3,e,1,1,1,0
D82079,3,e,1,1,1,0
D82085,3,e,1,1,1,0
D83006,3,e,1,1,1,0
D83020,3,e,1,1,1,0
D83037,3,e,1,1,1,0
D83062,3,e,1,1,1,0
D83067,3,e,1,1,1,0
D83078,3,e,1,1,1,0
D83079,3,e,1,1,1,0
D83615,3,e,1,1,0,0
E81632,3,e,0,0,,0
E82008,3,e,1,1,1,0
E82015,3,e,1,1,1,0
E82049,3,e,1,1,1,0
E82077,3,e,1,1,1,0
E82090,3,e,1,1,1,0
E83024,3,e,1,1,1,0
E83026,3,e,1,1,1,0
E83037,3,e,1,1,1,0
E83039,3,e,1,1,1,0
E83053,3,e,1,1,1,0
E83638,3,e,1,1,1,0
E83649,3,e,1,1,1,0
E84012,3,e,1,1,1,0
E84013,3,e,1,1,1,0
E84024,3,e,1,1,1,0
E84030,3,e,1,1,1,0
E84036,3,e,1,1,1,0
E84080,3,e,1,1,1,0
E84658,3,e,1,1,1,0
E84669,3,e,1,1,1,0
E84693,3,e,1,1,1,0
E84696,3,e,1,1,1,0
E84713,3,e,1,1,1,0
E85021,3,e,1,1,1,0
E85026,3,e,1,1,1,0
E85038,3,e,1,1,1,0
E85040,3,e,1,1,1,0
E85054,3,e,1,1,1,0
E85074,3,e,1,1,1,0
E85075,3,e,1,1,1,0
E85088,3,e,1,1,1,0
E85099,3,e,1,1,1,0
E85693,3,e,1,1,1,0
E85745,3,e,1,1,1,0
